antecedents_str,consequents_str,support,confidence,lift
"asparagus, avocado",salad,0.01819286168797362,0.4116492146596858,4.35373507116671
"avocado, tomatoes",salad,0.011135535373401978,0.40740740740740744,4.308872347416245
"asparagus, zucchini",salad,0.011019841499392608,0.4070512820512821,4.305105850609063
"spinach, tomatoes",salad,0.011945392491467578,0.4052993130520118,4.286576460526233
"asparagus, strawberries",salad,0.010961994562387922,0.4027630180658874,4.259751785442028
"avocado, carrots",salad,0.010933071093885579,0.40127388535031844,4.244002236800829
"asparagus, carrots",salad,0.01744085150691271,0.3972332015810277,4.201266659976278
"avocado, spinach",salad,0.011337999652918379,0.3967611336032389,4.1962739165489085
"salad, tomatoes",avocado,0.011135535373401978,0.41044776119402987,4.177456842956252
"asparagus, spinach",salad,0.018424249435992364,0.39467162329615857,4.174174580557169
"carrots, tomatoes",salad,0.011106611904899635,0.394655704008222,4.174006213025471
"asparagus, green grapes",salad,0.01073060681436918,0.3930084745762712,4.156584582441114
"carrots, spinach",salad,0.01136692312142072,0.39143426294820716,4.139935211737937
"asparagus, salad",avocado,0.01819286168797362,0.4037227214377407,4.109010706796717
"spinach, tomatoes",avocado,0.011887545554462892,0.40333660451422965,4.105080884449507
"asparagus, cauliflower",salad,0.010759530282871521,0.3850931677018633,4.072869740019645
"asparagus, mineral water",salad,0.010904147625383236,0.3846938775510204,4.06864671839981
"asparagus, tomatoes",salad,0.017093769884884594,0.3822768434670115,4.043083385141773
"airpods, energy drink",bluetooth headphones,0.016544223983340083,0.3963963963963964,4.021422831281987
"carrots, salad",avocado,0.010933071093885579,0.3945720250521921,4.015876713027521
