antecedents_str,consequents_str,support,confidence,lift
"cooking oil, dog food",napkins,0.015797111008508672,0.37103020914020135,2.632899134460376
"dog food, napkins",cooking oil,0.015797111008508672,0.3516886930983847,2.5870704881439157
"babies food, napkins",cooking oil,0.015302420684651407,0.3512490537471612,2.5838364404952503
"babies food, cooking oil",napkins,0.015302420684651407,0.3630672926447574,2.576392803083158
"babies food, dog food",cooking oil,0.015467317459270496,0.33404558404558404,2.457285346780737
"babies food, dog food",napkins,0.016027966492975398,0.3461538461538462,2.456371851878522
"cooking oil, napkins",babies food,0.015302420684651407,0.36420722135007844,2.392437470922244
"cooking oil, dog food",babies food,0.015467317459270496,0.3632842757552285,2.3863747420818973
"dog food, napkins",babies food,0.016027966492975398,0.3568281938325991,2.343965444842303
"cooking oil, napkins",dog food,0.015797111008508672,0.3759811616954474,2.298024750036153
"babies food, napkins",dog food,0.016027966492975398,0.3679031037093111,2.2486510604059124
"babies food, cooking oil",dog food,0.015467317459270496,0.3669796557120501,2.24300687774658
cooking oil,napkins,0.04201569817294374,0.3090732654051431,2.193241178004856
napkins,cooking oil,0.04201569817294374,0.29815118183945705,2.1932411780048557
babies food,cooking oil,0.04214761559263901,0.2768630849220104,2.0366430036402714
cooking oil,babies food,0.04214761559263901,0.3100436681222707,2.036643003640271
napkins,babies food,0.04356572785436317,0.30915047975661125,2.0307757467894207
babies food,napkins,0.04356572785436317,0.28617850953206236,2.0307757467894207
napkins,dog food,0.044917881406239694,0.3187456119822139,1.9481968245363213
dog food,napkins,0.044917881406239694,0.2745414231001814,1.9481968245363213
