antecedents_str,consequents_str,support,confidence,lift
"airpods, energy drink",bluetooth headphones,0.014056224899598393,0.3888888888888889,5.6862406447898675
"bluetooth headphones, energy drink",airpods,0.014056224899598393,0.6363636363636364,5.175268535499083
"airpods, bluetooth headphones",energy drink,0.014056224899598393,0.4175438596491228,4.9647841513897095
bluetooth headphones,airpods,0.0336640680368533,0.4922279792746114,4.003075958250586
airpods,bluetooth headphones,0.0336640680368533,0.27377521613832856,4.003075958250586
laptop,bluetooth headphones,0.012638790455941414,0.2668329177057357,3.9015673252102907
energy drink,bluetooth headphones,0.02208835341365462,0.26264044943820225,3.840266053443558
bluetooth headphones,energy drink,0.02208835341365462,0.3229706390328152,3.840266053443558
laptop,airpods,0.020552799433026223,0.4339152119700748,3.5288435970592253
energy drink,airpods,0.03614457831325301,0.4297752808988764,3.4951753391833695
airpods,energy drink,0.03614457831325301,0.29394812680115273,3.4951753391833695
iphone 10,airpods,0.022442712024568864,0.4222222222222223,3.4337495997438365
gadget for tiktok streaming,energy drink,0.011221356012284432,0.2777777777777778,3.3029026217228465
laptop,energy drink,0.013111268603827072,0.2768079800498753,3.2913712908739385
iphone 10,energy drink,0.014646822584455469,0.27555555555555555,3.2764794007490634
ring light,airpods,0.015828017954169618,0.3884057971014492,3.1587353297414684
megaman zero 4,airpods,0.011339475549255847,0.3855421686746988,3.135446685878963
megaman zero 2,airpods,0.011457595086227262,0.36194029850746273,2.9435029463632847
pokemon shield,airpods,0.010394519253484526,0.36065573770491804,2.933056172343743
metroid prime,airpods,0.010158280179541696,0.3598326359832636,2.926362244221239
