antecedents_str,consequents_str,support,confidence,lift
"cooking oil, dog food",napkins,0.015797111008508672,0.37103020914020135,2.631667368783435
"dog food, napkins",cooking oil,0.015797111008508672,0.35143066764490094,2.585172417352908
"babies food, napkins",cooking oil,0.015302420684651407,0.3512490537471612,2.5838364404952503
"babies food, cooking oil",napkins,0.015302420684651407,0.3630672926447574,2.575187473116803
"babies food, dog food",cooking oil,0.015467317459270496,0.33404558404558404,2.457285346780737
"babies food, dog food",napkins,0.016027966492975398,0.3461538461538462,2.4552226720647776
"cooking oil, napkins",babies food,0.015302420684651407,0.36420722135007844,2.392437470922244
"cooking oil, dog food",babies food,0.015467317459270496,0.3632842757552285,2.3863747420818973
"dog food, napkins",babies food,0.016027966492975398,0.3565663976522378,2.342245734317841
"cooking oil, napkins",dog food,0.015797111008508672,0.3759811616954474,2.297561625338443
"babies food, napkins",dog food,0.016027966492975398,0.3679031037093112,2.24819788606887
"babies food, cooking oil",dog food,0.015467317459270496,0.36697965571205005,2.2425548408909273
napkins,cooking oil,0.04201569817294374,0.2980116959064328,2.19221510026076
cooking oil,napkins,0.04201569817294374,0.3090732654051431,2.19221510026076
babies food,cooking oil,0.04214761559263901,0.2768630849220104,2.0366430036402714
cooking oil,babies food,0.04214761559263901,0.31004366812227074,2.0366430036402714
babies food,napkins,0.04356572785436317,0.2861785095320624,2.0298256762646076
napkins,babies food,0.04356572785436317,0.3090058479532164,2.029825676264607
napkins,dog food,0.04495086076116351,0.31883040935672513,1.948322384626082
dog food,napkins,0.04495086076116351,0.27468762595727525,1.948322384626082
